cell,theorem,stage,arm,seed,success,qualified_solve,platform_failed,cost,input_tokens,cached_input_tokens,output_tokens,model_requests,tool_advertised_requests,real_snippet_checks,snippet_rejected,snippet_open,snippet_completed,snippet_resource_exhausted,snippet_unknown,snippet_reused,snippet_requests,actual_book_requests,source
snippets-v1__mathd_algebra_393__validation-A__seed0,mathd_algebra_393,validation,A,0,True,True,False,0.023170080000000003,213891,145294,5454,15,4,4,4,0,0,0,0,0,4,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__mathd_algebra_393__validation-A__seed0
snippets-v1__aime_1991_p9__validation-A__seed0,aime_1991_p9,validation,A,0,False,False,False,0.04057145999999999,287892,151563,8562,19,16,4,4,0,0,0,0,0,4,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__aime_1991_p9__validation-A__seed0
snippets-v1__amc12a_2002_p6__validation-A__seed0,amc12a_2002_p6,validation,A,0,True,True,False,0.0020488,9506,0,123,1,1,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__amc12a_2002_p6__validation-A__seed0
snippets-v1__amc12a_2016_p3__validation-A__seed0,amc12a_2016_p3,validation,A,0,False,False,False,0.041353720000000004,218684,70986,8662,15,15,3,3,0,0,0,0,0,3,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__amc12a_2016_p3__validation-A__seed0
snippets-v1__amc12_2000_p12__validation-A__seed0,amc12_2000_p12,validation,A,0,True,True,False,0.036246759999999996,143336,45138,13087,12,12,1,0,1,0,0,0,0,1,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__amc12_2000_p12__validation-A__seed0
snippets-v1__mathd_algebra_251__validation-A__seed0,mathd_algebra_251,validation,A,0,True,True,False,0.00295248,19464,9464,636,2,2,2,1,0,1,0,0,0,2,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__mathd_algebra_251__validation-A__seed0
snippets-v1__mathd_algebra_214__validation-A__seed0,mathd_algebra_214,validation,A,0,True,True,False,0.0020744,9574,0,133,1,1,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__mathd_algebra_214__validation-A__seed0
snippets-v1__amc12a_2019_p21__validation-A__seed0,amc12a_2019_p21,validation,A,0,False,False,False,0.04079442,341547,193081,6033,22,15,4,3,1,0,0,0,0,4,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__amc12a_2019_p21__validation-A__seed0
snippets-v1__aime_1989_p8__validation-A__seed0,aime_1989_p8,validation,A,0,True,True,False,0.0021546,10077,0,116,1,1,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__aime_1989_p8__validation-A__seed0
snippets-v1__mathd_numbertheory_33__validation-A__seed0,mathd_numbertheory_33,validation,A,0,True,True,False,0.0022234,9431,0,281,1,1,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__mathd_numbertheory_33__validation-A__seed0
