id,cell,stage,model,created,charged,status
ac7fb09d77cd4c7492734a0cac033387,train__source_plain__mathd_algebra_185__seed0,solver,gpt-5.6-luna,1789813305.4908679,0.00317293,settled
e8837ab176054a1e84f1d8ec573f18bd,train__source_plain__imo_1963_p5__seed0,solver,gpt-5.6-luna,1789813305.6380038,0.00069794,settled
03b0506d026b4a198d215b8c0393682a,train__source_plain__induction_pord1p1on2powklt5on2__seed0,solver,gpt-5.6-luna,1789813305.8161247,0.0009551099999999999,settled
7e5ec13c72084d67995a4c702c173247,train__source_assisted__algebra_amgm_sum1toneqn_prod1tonleq1__seed0,solver,gpt-5.6-luna,1789813306.6622183,0.00173902,settled
d8e2d0c0ca2b4b16a6870fba00d508d9,train__source_assisted__imo_1967_p3__seed0,solver,gpt-5.6-luna,1789813307.0912542,0.0016355799999999998,settled
78976a3c3e02469b9f018f2f7a40a6d6,train__source_assisted__induction_pord1p1on2powklt5on2__seed0,solver,gpt-5.6-luna,1789813307.9785438,0.0012561,settled
7b429f6bbd0a48fca88e601d5471925a,train__source_plain__aime_1988_p3__seed0,solver,gpt-5.6-luna,1789813308.0363607,0.0018107099999999999,settled
48a745681b274531a3340cbf705a5044,train__source_plain__algebra_amgm_sum1toneqn_prod1tonleq1__seed0,solver,gpt-5.6-luna,1789813308.0731936,0.00139533,settled
9fa8f80ac7f747bda3bfbe53123fd2fe,train__source_plain__imo_1963_p5__seed0,solver,gpt-5.6-luna,1789813308.925553,0.0010692599999999998,settled
fea2f3d3d0ef4b04bba48f2e557ff92d,train__source_assisted__mathd_algebra_185__seed0,solver,gpt-5.6-luna,1789813309.0643024,0.00186006,settled
192c31115ff6470b80373b3d93d05989,train__source_assisted__aime_1988_p3__seed0,solver,gpt-5.6-luna,1789813309.6655014,0.00158838,settled
0ea0830d9dba49d59b2a1bd3ad3d4b37,train__source_plain__induction_pord1p1on2powklt5on2__seed0,solver,gpt-5.6-luna,1789813309.7406275,0.0014042,settled
df1706a7ba3143c4b6c5ea5b9a765f5b,train__source_assisted__imo_1963_p5__seed0,solver,gpt-5.6-luna,1789813310.7477071,0.00129219,settled
7c22d5a0b1fe4ce59c5ea3bfbfea5210,train__source_plain__imo_1963_p5__seed0,solver,gpt-5.6-luna,1789813312.428116,0.00127822,settled
48a564f082bd4054af1180080f1431b4,train__source_plain__imo_1967_p3__seed0,solver,gpt-5.6-luna,1789813312.9293814,0.0015542199999999998,settled
584da34ac76b4fd8b73691c4996ae5c1,train__source_assisted__induction_pord1p1on2powklt5on2__seed0,solver,gpt-5.6-luna,1789813313.3158753,0.00117509,settled
28a312ca47de471ba2d2216a8defd59d,train__source_plain__aime_1988_p3__seed0,solver,gpt-5.6-luna,1789813313.5059142,0.00154374,settled
b95f3ba42cbf40cb98a63f0b87f9c1a0,train__source_assisted__aime_1988_p3__seed0,solver,gpt-5.6-luna,1789813314.5838802,0.00145554,settled
33a6139c65524435979c7edd138a922e,train__source_assisted__imo_1963_p5__seed0,solver,gpt-5.6-luna,1789813315.0185595,0.0022952399999999996,settled
d4b322e966914ee685b9b6b554e2711d,train__source_plain__induction_pord1p1on2powklt5on2__seed0,solver,gpt-5.6-luna,1789813315.1742709,0.00122337,settled
39437cf6775b421c99e6059bbbfe6211,train__source_assisted__imo_1967_p3__seed0,solver,gpt-5.6-luna,1789813315.4093747,0.00102041,settled
4918a7e04ca94ced8ddbea8b6000c1b1,train__source_assisted__algebra_amgm_sum1toneqn_prod1tonleq1__seed0,solver,gpt-5.6-luna,1789813315.6750312,0.0010069599999999999,settled
