stage,arm,stopping_allowance,n,solves,mean_solves_per_40,all_attempt_cost,all_attempt_cost_lower,all_attempt_cost_upper,invoice_exact,mean_cost_per_40,cost_per_solve,baseline,saving_vs_same_cap,saving_vs_same_cap_interval,solve_difference_vs_same_cap,saving_vs_ordinary_ten_cents,saving_vs_ordinary_ten_cents_interval,solve_difference_vs_ordinary_ten_cents,dominated_by_a_matched_nonace_budget,preparation_cost,cost_including_preparation_at_measured_n,cost_including_preparation_interval,break_even_problems_at_same_cap,problems_for_ten_percent_total_saving_at_same_cap
train,R1,0.075,80,66,33.0,1.50358891,1.50358891,1.50358891,True,0.751794455,0.02278165015151515,A0,0.08252524207621281,"[0.08252524207621281, 0.08252524207621281]",2.0,0.12316810192188143,"[0.12316810192188143, 0.12316810192188143]",1.5,False,21.16027059,22.6638595,"[22.6638595, 22.6638595]",12517,
train,R1,0.09,80,66,33.0,1.5228957,1.5228957,1.5228957,True,0.76144785,0.023074177272727273,A0,0.10596301399229058,"[0.10596301399229058, 0.10596301399229058]",2.0,0.11190916724305633,"[0.11190916724305633, 0.11190916724305633]",1.5,False,21.16027059,22.68316629,"[22.68316629, 22.68316629]",9379,166660
train,R1,0.1,80,66,33.0,1.58172861,1.58172861,1.58172861,True,0.790864305,0.023965585,A0,0.07760020699356962,"[0.07760020699356962, 0.07760020699356962]",1.5,0.07760020699356962,"[0.07760020699356962, 0.07760020699356962]",1.5,False,21.16027059,22.7419992,"[22.7419992, 22.7419992]",12722,
train,S1,0.05,80,61,30.5,1.3816287399999998,1.3816287399999998,1.3816287399999998,True,0.6908143699999999,0.022649651475409833,A0,0.034013653194665316,"[0.034013653194665316, 0.034013653194665316]",0.0,0.19429031268029284,"[0.19429031268029284, 0.19429031268029284]",-1.0,False,1.7553568899999998,3.13698563,"[3.13698563, 3.13698563]",2887,
train,S1,0.075,80,62,31.0,1.6300866299999999,1.6300866299999999,1.6300866299999999,True,0.8150433149999999,0.026291719838709676,A0,0.005337611691980326,"[0.005337611691980326, 0.005337611691980326]",0.0,0.04939977655550565,"[0.04939977655550565, 0.04939977655550565]",-0.5,False,1.7553568899999998,3.38544352,"[3.38544352, 3.38544352]",16054,
train,S1,0.09,80,62,31.0,1.6858059499999998,1.6858059499999998,1.6858059499999998,True,0.8429029749999999,0.027190418548387094,A0,0.010324298287884726,"[0.010324298287884726, 0.010324298287884726]",0.0,0.016906535357536168,"[0.016906535357536168, 0.016906535357536168]",-0.5,True,1.7553568899999998,3.4411628399999996,"[3.4411628399999996, 3.4411628399999996]",7986,
train,S1,0.1,80,63,31.5,1.7035855599999998,1.7035855599999998,1.7035855599999998,True,0.8517927799999999,0.027041040634920632,A0,0.0065381899409763244,"[0.0065381899409763244, 0.0065381899409763244]",0.0,0.0065381899409763244,"[0.0065381899409763244, 0.0065381899409763244]",0.0,False,1.7553568899999998,3.4589424499999994,"[3.4589424499999994, 3.4589424499999994]",12526,
validation,A0,0.05,80,55,27.5,1.54628491,1.54628491,1.54628491,True,0.773142455,0.028114271090909092,A0,0.0,"[0.0, 0.0]",0.0,0.11859501591426624,"[0.11859501591426624, 0.11859501591426624]",-0.5,False,0.0,1.54628491,"[1.54628491, 1.54628491]",,
validation,A0,0.075,80,56,28.0,1.71198751,1.71198751,1.71198751,True,0.855993755,0.030571205535714286,A0,0.0,"[0.0, 0.0]",0.0,0.02414211362476215,"[0.02414211362476215, 0.02414211362476215]",0.0,False,0.0,1.71198751,"[1.71198751, 1.71198751]",,
validation,A0,0.09,80,56,28.0,1.7543410099999999,1.7543410099999999,1.7543410099999999,True,0.8771705049999999,0.031327518035714284,A0,0.0,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0,True,0.0,1.7543410099999999,"[1.7543410099999999, 1.7543410099999999]",,
validation,A0,0.1,80,56,28.0,1.7543410099999999,1.7543410099999999,1.7543410099999999,True,0.8771705049999999,0.031327518035714284,A0,0.0,"[0.0, 0.0]",0.0,0.0,"[0.0, 0.0]",0.0,True,0.0,1.7543410099999999,"[1.7543410099999999, 1.7543410099999999]",,
validation,A1,0.05,80,56,28.0,1.7479195699999999,1.7479195699999999,1.7479195699999999,True,0.8739597849999999,0.03121284946428571,A0,-0.13039942296274476,"[-0.13039942296274476, -0.13039942296274476]",0.5,0.003660314592999203,"[0.003660314592999203, 0.003660314592999203]",0.0,True,,,,,
validation,A1,0.075,80,57,28.5,1.95725565,1.95725565,1.95725565,True,0.978627825,0.03433781842105263,A0,-0.143265145666863,"[-0.143265145666863, -0.143265145666863]",0.5,-0.11566430861694332,"[-0.11566430861694332, -0.11566430861694332]",0.5,False,,,,,
validation,A1,0.09,80,57,28.5,1.9873969999999999,1.9873969999999999,1.9873969999999999,True,0.9936984999999999,0.034866614035087715,A0,-0.1328453183682914,"[-0.1328453183682914, -0.1328453183682914]",0.5,-0.1328453183682914,"[-0.1328453183682914, -0.1328453183682914]",0.5,False,,,,,
validation,A1,0.1,80,57,28.5,2.00053497,2.00053497,2.00053497,True,1.000267485,0.035097104736842105,A0,-0.14033415316444087,"[-0.14033415316444087, -0.14033415316444087]",0.5,-0.14033415316444087,"[-0.14033415316444087, -0.14033415316444087]",0.5,False,,,,,
validation,A2,0.05,80,52,26.0,1.71229613,1.71229613,1.71229613,True,0.856148065,0.03292877173076923,A0,-0.10736134002626985,"[-0.10736134002626985, -0.10736134002626985]",-1.5,0.02396619571698888,"[0.02396619571698888, 0.02396619571698888]",-2.0,True,21.16027059,22.87256672,"[22.87256672, 22.87256672]",,
validation,A2,0.075,80,52,26.0,1.8202565,1.8202565,1.8202565,True,0.91012825,0.03500493269230769,A0,-0.06324169386025491,"[-0.06324169386025491, -0.06324169386025491]",-2.0,-0.03757279207649611,"[-0.03757279207649611, -0.03757279207649611]",-2.0,True,21.16027059,22.98052709,"[22.98052709, 22.98052709]",,
validation,A2,0.09,80,52,26.0,1.90256966,1.90256966,1.90256966,True,0.95128483,0.036587878076923076,A0,-0.08449249556105398,"[-0.08449249556105398, -0.08449249556105398]",-2.0,-0.08449249556105398,"[-0.08449249556105398, -0.08449249556105398]",-2.0,True,21.16027059,23.06284025,"[23.06284025, 23.06284025]",,
