campaign,stage,label,platform_errors,n,theorems,solves,coverage,cost,cost_per_solve,failed_cost,requests,auto_finished,missing_usage,max_cell_cost,input_cost,output_cost,large_context_requests
ace_adaptation_x-noreflect,train,step28_generator_{theorem},0,1,1,0,0.0,0.03191196,,0.03191196,32,0,0,0.03191196,0.01583316,0.0160788,0
ace_adaptation_x-noreflect,train,step29_generator_{theorem},0,1,1,1,1.0,0.013901899999999998,0.013901899999999998,0,12,0,0,0.013901899999999998,0.0073655,0.006536400000000001,0
ace_adaptation_x-noreflect,train,step30_generator_{theorem},0,1,1,1,1.0,0.0020017499999999996,0.0020017499999999996,0,1,0,0,0.0020017499999999996,0.0018493499999999998,0.0001524,0
ace_adaptation_x-noreflect,train,step31_generator_{theorem},0,1,1,1,1.0,0.05247966999999999,0.05247966999999999,0,23,0,0,0.05247966999999999,0.024177670000000002,0.028302,0
ace_adaptation_x-noreflect,train,step32_generator_{theorem},0,1,1,1,1.0,0.0026314099999999994,0.0026314099999999994,0,2,0,0,0.0026314099999999994,0.00214061,0.0004908,0
ace_adaptation_x-noreflect,train,step33_generator_{theorem},0,1,1,1,1.0,0.00820837,0.00820837,0,13,0,0,0.00820837,0.00457357,0.0036347999999999997,0
ace_adaptation_x-noreflect,train,step34_generator_{theorem},0,1,1,0,0.0,0.0846655,,0.0846655,32,0,0,0.0846655,0.03724990000000001,0.0474156,0
ace_adaptation_x-noreflect,train,step35_generator_{theorem},0,1,1,1,1.0,0.00440093,0.00440093,0,7,0,0,0.00440093,0.0020177299999999997,0.0023832,0
ace_adaptation_x-noreflect,train,step36_generator_{theorem},0,1,1,1,1.0,0.00046897999999999997,0.00046897999999999997,0,1,0,0,0.00046897999999999997,0.00040298,6.599999999999999e-05,0
ace_adaptation_x-noreflect,train,step37_generator_{theorem},0,1,1,1,1.0,0.024696209999999993,0.024696209999999993,0,18,0,0,0.024696209999999993,0.01122381,0.0134724,0
ace_adaptation_x-noreflect,train,step38_generator_{theorem},0,1,1,1,1.0,0.0032253399999999993,0.0032253399999999993,0,4,0,0,0.0032253399999999993,0.0013749399999999998,0.0018503999999999999,0
ace_adaptation_x-noreflect,train,step39_generator_{theorem},0,1,1,0,0.0,0.04077705,,0.04077705,32,0,0,0.04077705,0.030020249999999995,0.010756799999999997,0
ace_adaptation_x-offline,train,step00_generator_{theorem},0,1,1,1,1.0,0.00216672,0.00216672,0,6,0,0,0.00216672,0.00098352,0.0011831999999999997,0
ace_adaptation_x-offline,train,step01_generator_{theorem},0,1,1,0,0.0,0.02539085,,0.02539085,32,0,0,0.02539085,0.014740849999999998,0.010650000000000003,0
ace_adaptation_x-offline,train,step02_generator_{theorem},0,1,1,1,1.0,0.0042286,0.0042286,0,6,1,0,0.0042286,0.0020697999999999997,0.0021588,0
ace_adaptation_x-offline,train,step03_generator_{theorem},0,1,1,1,1.0,0.0017875499999999997,0.0017875499999999997,0,1,0,0,0.0017875499999999997,0.00103635,0.0007511999999999999,0
ace_adaptation_x-offline,train,step04_generator_{theorem},0,1,1,1,1.0,0.06163305,0.06163305,0,20,1,0,0.06163305,0.04191224999999999,0.0197208,0
ace_adaptation_x-offline,train,step05_generator_{theorem},0,1,1,1,1.0,0.0039136399999999995,0.0039136399999999995,0,6,1,0,0.0039136399999999995,0.0022660399999999995,0.0016476,0
ace_adaptation_x-offline,train,step06_generator_{theorem},0,1,1,1,1.0,0.0013033999999999997,0.0013033999999999997,0,1,1,0,0.0013033999999999997,0.0012085999999999998,9.48e-05,0
ace_adaptation_x-offline,train,step07_generator_{theorem},0,1,1,1,1.0,0.02956213,0.02956213,0,24,1,0,0.02956213,0.01337413,0.016188,0
ace_adaptation_x-offline,train,step08_generator_{theorem},0,1,1,1,1.0,0.00128865,0.00128865,0,1,0,0,0.00128865,0.00119985,8.879999999999999e-05,0
ace_adaptation_x-offline,train,step09_generator_{theorem},0,1,1,1,1.0,0.0019012499999999997,0.0019012499999999997,0,1,1,0,0.0019012499999999997,0.0012448499999999998,0.0006564,0
ace_adaptation_x-offline,train,step10_generator_{theorem},0,1,1,1,1.0,0.01378875,0.01378875,0,11,0,0,0.01378875,0.00595275,0.007836,0
ace_adaptation_x-offline,train,step11_generator_{theorem},0,1,1,1,1.0,0.0062783199999999996,0.0062783199999999996,0,7,0,0,0.0062783199999999996,0.0033959199999999993,0.0028824,0
