ledger,cell,receipt,date,stage,charged,uncached,input,cached,output
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1964_p2__luna-none-medium__gpt-5.6-luna__seed0,1444f7344df84ff281b5ad3e67bd39b4,2026-09-12,luna,0.00160914,0.0020783999999999998,8694,2607,283
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1964_p2__luna-none-medium__gpt-5.6-luna__seed0,6052d8a0784e45208b3cc833cc490014,2026-09-12,luna,0.00081882,0.0023832,9444,8691,412
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,imo_1964_p2__luna-none-medium__gpt-5.6-luna__seed0,2e9b506cee4742679cc3564d69c00897,2026-09-12,luna,0.00291934,0.0033885999999999994,10487,2607,1076
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,aime_1984_p7__luna-none-medium__gpt-5.6-luna__seed0,439c1ddbf0d647febe641be5f99fc284,2026-09-12,luna,0.0055955399999999995,0.0060647999999999995,4110,2607,4369
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,aime_1984_p7__luna-none-medium__gpt-5.6-luna__seed0,8b974b3121d744b8afec697a994815e8,2026-09-12,luna,0.0033307399999999996,0.0037999999999999996,5860,2607,2190
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,aime_1984_p7__luna-none-medium__gpt-5.6-luna__seed0,ab9bd020551e46f78a173c9f37612c86,2026-09-12,luna,0.0023919399999999995,0.0028611999999999995,7460,2607,1141
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,aime_1984_p7__luna-none-medium__gpt-5.6-luna__seed0,31a80c34d5544d82964af58f3fb31833,2026-09-12,luna,0.00266434,0.0031336,9080,2607,1098
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,aime_1984_p7__luna-none-medium__gpt-5.6-luna__seed0,7636956560e246309a48fe22398f3e02,2026-09-12,luna,0.0029143399999999996,0.0033835999999999996,10726,2607,1032
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,aime_1984_p7__luna-none-medium__gpt-5.6-luna__seed0,d5735a0a3f7b490e85b502932e617cac,2026-09-12,luna,0.0032881399999999997,0.0037573999999999997,12697,2607,1015
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,aime_1984_p7__luna-none-medium__gpt-5.6-luna__seed0,e9f9ac3545ba4e6198fb71cefc51781a,2026-09-12,luna,0.00369834,0.0041676000000000005,14586,2607,1042
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,aime_1984_p7__luna-none-medium__gpt-5.6-luna__seed0,20e0decb1e6041569e62cbc14137cddb,2026-09-12,luna,0.00416714,0.0046364,17098,2607,1014
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,aime_1984_p7__luna-none-medium__gpt-5.6-luna__seed0,d1cb081bbce6473a930a1cf7213744e4,2026-09-12,luna,0.005124139999999999,0.0055934,19717,2607,1375
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,amc12a_2013_p8__luna-none-medium__gpt-5.6-luna__seed0,3748f07df91840c6ad76e9c50d421b1c,2026-09-12,luna,0.00038374,0.000853,3875,2607,65
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,amc12a_2013_p8__luna-none-medium__gpt-5.6-luna__seed0,ab89a10d3c37440d9a1c9ed2c2bc2e84,2026-09-12,luna,0.00064384,0.0013408,4046,3872,443
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,amc12a_2013_p8__luna-none-medium__gpt-5.6-luna__seed0,f9498d13bb5d43369946dd5468ba9664,2026-09-12,luna,0.0010571399999999998,0.0015263999999999998,4548,2607,514
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,amc12a_2013_p8__luna-none-medium__gpt-5.6-luna__seed0,38848ac48f0c43fab428413b13b4f1c8,2026-09-12,luna,0.00078854,0.0012577999999999999,4933,2607,226
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,amc12a_2013_p8__luna-none-medium__gpt-5.6-luna__seed0,3eb8c7b2a18a458189f53404e3e14eee,2026-09-12,luna,0.0004116,0.0012989999999999998,5355,4930,190
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,amc12a_2013_p8__luna-none-medium__gpt-5.6-luna__seed0,d8b4336ad1ad4d5a8d5ee380ab3b21eb,2026-09-12,luna,0.0009568399999999999,0.0019202,5665,5352,656
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,amc12a_2013_p8__luna-none-medium__gpt-5.6-luna__seed0,060185958bcd464ba3d71197e14944fb,2026-09-12,luna,0.00110254,0.0015718,5861,2607,333
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,amc12a_2013_p8__luna-none-medium__gpt-5.6-luna__seed0,bdd2530aacb4447b9c913b80bda24760,2026-09-12,luna,0.00068116,0.0017356,6662,5858,336
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,mathd_algebra_214__luna-none-medium__gpt-5.6-luna__seed0,65795047223f41a69a2453449cf9ceb0,2026-09-12,luna,0.00066734,0.0011366,3877,2607,301
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,mathd_algebra_214__luna-none-medium__gpt-5.6-luna__seed0,b4b01d43d3054c0b97a3ca8151aeae0a,2026-09-12,luna,0.00055694,0.0010262,4303,2607,138
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,mathd_algebra_214__luna-none-medium__gpt-5.6-luna__seed0,f5ed24a42adb42c19c7b9dd65b8c0ada,2026-09-12,luna,0.0008295399999999999,0.0012988,4514,2607,330
